CLASS,TERM,INSTRUCTOR,A,B,C,D,F,P,NP,IX,EW,W,TOTAL,,,,,
MATH2,FALL22,FOSTER M, ,1,1,2,9, ,2, , ,6,21,,,,,
MATH2,FALL22,QUEVEDO,2, ,1, ,4, ,2, , ,20,29,,,,,
MATH2,FALL22,ROSS,4,4,1,1,6,1, , , ,18,35,,,,,
MATH2,FALL22,BOOSHERI, , , ,2,10,1,2, , ,14,29,,,,,
MATH2,FALL22,RODAS,3,2,3,1, , ,1, , ,7,17,,,,,
MATH2,FALL22,LEE, ,1, , ,1, ,1, , ,23,26,,,,,
MATH2,FALL22,PHUA,2, ,2, ,3, , , , ,23,30,,,,,
MATH2,FALL22,CHO,4,2,1, ,1, ,2, ,1,21,32,,,,,
MATH2,FALL22,OUELLETTE, ,2,1, ,9, ,1, , ,16,29,,,,,
MATH2,FALL22,MIANO, ,1,7,4,8,1,2, , ,11,34,,,,,
MATH2,FALL22,HARJUNO,2,3,4,2,11, ,1, , ,15,38,,,,,
MATH2,FALL22,QUEVEDO, , , ,1,6,1, , ,1,22,31,,,,,
MATH2,FALL22,LEE,1, , , ,1,2,1, , ,16,21,,,,,
MATH2,FALL22,BASKAUSKAS,5,10,3,3,3,2,2, , ,6,34,,,,,
MATH2,FALL22,HONG, , , , ,2, , , , ,14,16,,,,,
MATH2,FALL22,SOLEYMANI,10,5,4,5,4, ,3, , ,6,37,,,,,
MATH2,FALL22,MIANO,2,1,3,4,11,1,1, , ,11,34,,,,,
MATH2,FALL22,BOOSHERI,3,1,1,2,8,2, , , ,10,27,,,,,
MATH2,FALL22,EMERSON, , ,1,3, ,1, , , ,22,27,,,,,
MATH2,FALL22,PHUNG,1,1,1,1,5, ,8, ,1,10,28,,,,,
MATH2,FALL22,ENGLAND,7,5,6,1,4, , , , ,9,32,,,,,
MATH2,FALL22,ENGLAND,6,5,3,1,6,2,1, ,2,6,32,,,,,
MATH2,FALL22,PHUA,5,2,4,5,2, , , ,1,14,33,,,,,
MATH2,FALL22,WANG,2,1,2,1,7, ,1, , ,10,24,,,,,
MATH2,FALL22,GRAVES,9,6,5,2,5,2, , , ,6,35,,,,,
MATH2,FALL22,DEAN,8,9,9,1,4, , , , ,3,34,,,,,
MATH2,FALL22,CARTY,3,3,3,5,11, ,1,1, ,10,37,,,,,
MATH2,FALL22,CHAN,4,1,1,1,11,1,1, , ,8,28,,,,,
MATH2,FALL22,MUSSELMAN,2,2, , ,1,1,3, ,1,20,30,,,,,
MATH2,FALL22,RAMSEY,7,7,1,2,3,1,4, , ,12,37,,,,,
MATH2,FALL22,LIAO,26,2,5, ,3, , , , , ,36,,,,,
MATH2,FALL22,JIANG,13,3,3,3,6,2, ,1, ,10,41,,,,,
MATH2,FALL22,KARKAFI,2, , , ,6, ,1, ,1,17,27,,,,,
MATH3,FALL22,KONYA,1,1,2, ,5,1, , , ,16,26,,,,,
MATH3,FALL22,HERICHI,4,2,2,3,11, ,1, , ,13,36,,,,,
MATH3,FALL22,HONG,1, , , ,3, , , , ,9,13,,,,,
MATH3,FALL22,JIANG,7,1,8,1,6,1, ,1, ,4,29,,,,,
MATH3,FALL22,OUELLETTE,3,1, ,2,6, ,1, , ,7,20,,,,,
MATH4,FALL22,LOPEZ,5,1,5,6,5, ,1, , ,15,38,,,,,
MATH4,FALL22,LONDON,2,1,2,5, ,1,2, , ,6,19,,,,,
MATH4,FALL22,PHUNG,2,1, ,1,5, ,1, , ,13,23,,,,,
MATH4,FALL22,TSVIKYAN,9,1,4, ,5, , , , ,12,31,,,,,
MATH4,FALL22,BENE,4,3,1,1,4, ,1,1, ,7,22,,,,,
MATH4,FALL22,PHUNG,4, ,1,1,4,1, , , ,13,24,,,,,
MATH4,FALL22,JAHANGARD, ,1,2,1,6, ,1, , ,18,29,,,,,
MATH4,FALL22,KIM ,4,5,2,1,2, ,1, , ,18,33,,,,,
MATH7,FALL22,OUELLETTE,3,2,5,1,8, ,2, , ,13,34,,,,,
MATH7,FALL22,BENE,3,1,2,3,6, ,2,1, ,10,28,,,,,
MATH7,FALL22,SOLEYMANI,8,4,5,6,6, ,3,1, ,12,45,,,,,
MATH7,FALL22,BENE,2,5,3,5,3, ,1, , ,7,26,,,,,
MATH7,FALL22,RODAS,3,3,1, ,2, , , , ,5,14,,,,,
MATH7,FALL22,LAI,6,7,9,2,3, , , , ,18,45,,,,,
MATH7,FALL22,HANCOCK,7,7,5,1,7, ,4, , ,12,43,,,,,
MATH7,FALL22,RICHARDSON,8,3,10,1,3,1,3, , ,12,41,,,,,
MATH7,FALL22,WANG,2,4,2,1,4, ,2, , ,11,26,,,,,
MATH7,FALL22,BASKAUSKAS,6,10,6,5,2, , , , ,6,35,,,,,
MATH7,FALL22,MAN,7,5,6,3,3, ,1, , ,11,36,,,,,
MATH7,FALL22,KONYA,3, ,1,2,1, ,1, , ,10,18,,,,,
MATH7,FALL22,GRAVES,4,7,6,1,7,3, , , ,8,36,,,,,
MATH7,FALL22,KAMIN,4,6,6,1,1,1,4, , ,14,37,,,,,
MATH7,FALL22,DOKOS,8,3,2,7, , ,1, , ,9,30,,,,,
MATH8,FALL22,HONG, , , , , , , , , ,12,12,,,,,
MATH8,FALL22,KONYA,2,2,1,5,6, , , , ,9,25,,,,,
MATH8,FALL22,WANG,6,6,6,2,3, ,1, , ,12,36,,,,,
MATH8,FALL22,NESTLER, ,2,3,1,2, ,3, , ,25,36,,,,,
MATH8,FALL22,EMERSON,2,3,5, ,2, ,1, , ,19,32,,,,,
MATH8,FALL22,RICHARDSON,6,15,2,1, , ,2, , ,12,38,,,,,
MATH8,FALL22,ASKARIAN,12,5,2,4,3, , , , ,13,39,,,,,
MATH10,FALL22,JAHANGARD,2,2,3, ,1, ,1, , ,12,21,,,,,
MATH11,FALL22,HERICHI,8,3,4,1,8,2,4, , ,10,40,,,,,
MATH11,FALL22,SOLEYMANI,5,7,3,2,6,1,2, , ,11,37,,,,,
MATH11,FALL22,LAI,13,8,5,5,2, ,4, , ,7,44,,,,,
MATH11,FALL22,NESTLER,2, ,1, ,1, , , , ,6,10,,,,,
MATH13,FALL22,HERICHI,8,11,4,2,2, ,1, , ,4,32,,,,,
MATH13,FALL22,MALDAGUE,10,5,2, , ,1,2, , ,7,27,,,,,
MATH13,FALL22,NESTLER, ,1, ,2,2, , , , ,10,15,,,,,
