Course Name,Course Title,Section,Schedule,Section Modality,Campus,Location,Instructor
MATH54,Introduction to Statistics,3113,MW 8 a.m.-10:05 a.m.,On Ground,Bundy,BUNDY 213,BAYSSA
MATH54,Introduction to Statistics,3114,MW 8 a.m.-10:05 a.m.,On Ground,Main Campus,MSB 212,TU
MATH54,Introduction to Statistics,3116,TTh 8 a.m.-10:05 a.m.,On Ground,Bundy,BUNDY 213,GHARAMANIANS
MATH54,Introduction to Statistics,3117,F 8 a.m.-12:05 p.m.,On Ground,Main Campus,MSB 209,XIE
MATH54,Introduction to Statistics,3118,TTh 9 a.m.-11:05 a.m.,On Ground,Main Campus,MSB 205,VENDLINSKI
MATH54,Introduction to Statistics,3122,MW 10:15 a.m.-12:20 p.m.,On Ground,Center for Media and Design,CMD 107,LAN
MATH54,Introduction to Statistics,3123,TTh 10:15 a.m.-12:20 p.m.,On Ground,Bundy,BUNDY 213,GHARAMANIANS
MATH54,Introduction to Statistics,3124,TTh 10:30 a.m.-12:35 p.m.,On Ground,Bundy,BUNDY 221,HUANG
MATH54,Introduction to Statistics,3128,MW 12:45 p.m.-2:50 p.m.,On Ground,Main Campus,MSB 207,GIZAW
MATH54,Introduction to Statistics,3130,MW 12:45 p.m.-2:50 p.m.,On Ground,Bundy,BUNDY 221,DEAN
MATH54,Introduction to Statistics,3131,TTh 12:45 p.m.-2:50 p.m.,On Ground,Main Campus,MSB 207,CHAU
MATH54,Introduction to Statistics,3135,MW 1:30 p.m.-3:35 p.m.,On Ground,Main Campus,MSB 212,TU
MATH54,Introduction to Statistics,3137,MW 3 p.m.-5:05 p.m.,On Ground,Main Campus,MSB 211,MARTINEZ
MATH54,Introduction to Statistics,3138,TTh 3 p.m.-5:05 p.m.,On Ground,Main Campus,MSB 207,CHAU
MATH54,Introduction to Statistics,3141,TTh 8:15 a.m.-10:20 a.m.,On Ground,Main Campus,MSB 203,FOSTER
MATH54,Introduction to Statistics,3142,ARRANGE-4.25Hours,Flexible,Online,ONLINE,EDINGER
MATH54,Introduction to Statistics,3143,ARRANGE-4.25Hours,Flexible,Online,ONLINE,PHUA
MATH54,Introduction to Statistics,3144,ARRANGE-4.25Hours,Flexible,Online,ONLINE,NGUYEN
MATH54,Introduction to Statistics,3145,ARRANGE-4.25Hours,Flexible,Online,ONLINE,PHUA
MATH54,Introduction to Statistics,3146,ARRANGE-4.25Hours,Flexible,Online,ONLINE,SASO
MATH54,Introduction to Statistics,3147,ARRANGE-4.25Hours,Flexible,Online,ONLINE,SASO
MATH54,Introduction to Statistics,3148,ARRANGE-4.25Hours,Flexible,Online,ONLINE,EDINGER
MATH54,Introduction to Statistics,3149,ARRANGE-4.25Hours,Flexible,Online,ONLINE,FORBES
MATH54,Introduction to Statistics,3150,ARRANGE-4.25Hours,Flexible,Online,ONLINE,HANCOCK
MATH54,Introduction to Statistics,3151,ARRANGE-4.25Hours,Flexible,Online,ONLINE,MCGRAW
MATH54,Introduction to Statistics,3152,ARRANGE-4.25Hours,Flexible,Online,ONLINE,EDINGER
MATH54,Introduction to Statistics,3153,ARRANGE-4.25Hours,Flexible,Online,ONLINE,BOOSHERI
MATH54,Introduction to Statistics,3154,ARRANGE-4.25Hours,Flexible,Online,ONLINE,BOOSHERI
MATH54,Introduction to Statistics,3302,TTh 12:45 p.m.-2:50 p.m.,On Ground,Malibu Campus,MALBU 219,PEREZ
MATH54,Introduction to Statistics,4192,TTh 5 p.m.-7:05 p.m.,On Ground,Bundy,BUNDY 213,DABAGH
MATH54,Introduction to Statistics,4193,MW 5:15 p.m.-7:20 p.m.,On Ground,Main Campus,MSB 211,MARTINEZ
MATH54,Introduction to Statistics,4194,TTh 5:15 p.m.-7:20 p.m.,On Ground,Main Campus,MSB 307,MARDIROSIAN
MATH54,Introduction to Statistics,4195,MW 7:35 p.m.-9:40 p.m.,On Ground,Main Campus,MSB 203,HE
MATH54,Introduction to Statistics,4196,TTh 7:35 p.m.-9:40 p.m.,On Ground,Main Campus,MSB 307,MARDIROSIAN
MATH54,Introduction to Statistics,3155,ARRANGE-9Hours,Flexible,Online,ONLINE,NGUYEN
MATH54,Introduction to Statistics,3156,ARRANGE-9Hours,Flexible,Online,ONLINE,NGUYEN
MATH54,Introduction to Statistics,3157,ARRANGE-9Hours,Flexible,Online,ONLINE,NGUYEN
MATH54,Introduction to Statistics,3115,TTh 8 a.m.-10:05 a.m.,On Ground,Main Campus,MSB 212,KIM
MATH 54C,Concurrent Support for Elementary Statistics,2636,TTh 10:15 a.m.-11:05 a.m.,On Ground,Main Campus,MSB 212,KIM
MATH54,Introduction to Statistics,3119,MW 9:30 a.m.-11:35 a.m.,On Ground,Main Campus,MSB 209,GIZAW
MATH 54C,Concurrent Support for Elementary Statistics,2637,MW 11:45 a.m.-12:35 p.m.,On Ground,Main Campus,MSB 209,GIZAW
MATH54,Introduction to Statistics,3120,MW 10:15 a.m.-12:20 p.m.,On Ground,Bundy,BUNDY 213,BAYSSA
MATH 54C,Concurrent Support for Elementary Statistics,2638,MW 12:30 p.m.-1:20 p.m.,On Ground,Bundy,BUNDY 213,BAYSSA
MATH54,Introduction to Statistics,3121,MW 10:15 a.m.-12:20 p.m.,On Ground,Main Campus,MSB 212,FOSTER
MATH 54C,Concurrent Support for Elementary Statistics,2639,MW 12:30 p.m.-1:20 p.m.,On Ground,Main Campus,MSB 212,FOSTER
MATH54,Introduction to Statistics,3125,MW 11:15 a.m.-1:20 p.m.,On Ground,Bundy,BUNDY 217,FOREMAN
MATH 54C,Concurrent Support for Elementary Statistics,2640,MW 1:30 p.m.-2:20 p.m.,On Ground,Bundy,BUNDY 217,FOREMAN
MATH54,Introduction to Statistics,3126,MW 11:45 a.m.-1:50 p.m.,On Ground,Main Campus,PA 71,LOPEZ
MATH 54C,Concurrent Support for Elementary Statistics,2641,MW 2 p.m.-2:50 p.m.,On Ground,Main Campus,PA 71,LOPEZ
MATH54,Introduction to Statistics,3127,MW 12:45 p.m.-2:50 p.m.,On Ground,Main Campus,MSB 102,SIMO
MATH 54C,Concurrent Support for Elementary Statistics,2642,MW 3 p.m.-3:50 p.m.,On Ground,Main Campus,MSB 102,SIMO
MATH54,Introduction to Statistics,3129,MW 12:45 p.m.-2:50 p.m.,On Ground,Center for Media and Design,CMD 107,LAN
MATH 54C,Concurrent Support for Elementary Statistics,2643,MW 3 p.m.-3:50 p.m.,On Ground,Center for Media and Design,CMD 107,LAN
MATH54,Introduction to Statistics,3132,TTh 12:45 p.m.-2:50 p.m.,On Ground,Main Campus,MSB 308,DEAN
MATH 54C,Concurrent Support for Elementary Statistics,2644,TTh 3 p.m.-3:50 p.m.,On Ground,Main Campus,MSB 308,DEAN
MATH54,Introduction to Statistics,3133,TTh 12:45 p.m.-2:50 p.m.,On Ground,Main Campus,MSB 102,SIMO
MATH 54C,Concurrent Support for Elementary Statistics,2645,TTh 3 p.m.-3:50 p.m.,On Ground,Main Campus,MSB 102,SIMO
MATH54,Introduction to Statistics,3134,TTh 12:45 p.m.-2:50 p.m.,On Ground,Main Campus,PA 71,LOPEZ
MATH 54C,Concurrent Support for Elementary Statistics,2646,TTh 3 p.m.-3:50 p.m.,On Ground,Main Campus,PA 71,LOPEZ
MATH54,Introduction to Statistics,3136,TTh 2 p.m.-4:05 p.m.,On Ground,Bundy,BUNDY 221,HUANG
MATH 54C,Concurrent Support for Elementary Statistics,2647,TTh 4:15 p.m.-5:05 p.m.,On Ground,Bundy,BUNDY 221,HUANG
MATH54,Introduction to Statistics,3139,MW 4 p.m.-6:05 p.m.,On Ground,Main Campus,MSB 203,HE
MATH 54C,Concurrent Support for Elementary Statistics,4141,MW 6:15 p.m.-7:05 p.m.,On Ground,Main Campus,MSB 203,HE
MATH54,Introduction to Statistics,3140,T 4 p.m.-6:05 p.m.,Hybrid,Main Campus,PA 71,JAHANGARD
MATH 54C,Concurrent Support for Elementary Statistics,4142,T 6:15 p.m.-7:05 p.m.,Hybrid,Main Campus,PA 71,JAHANGARD
MATH54,Introduction to Statistics,3140,Th 4 p.m.-6:05 p.m.,Hybrid,Online,ONLINE,JAHANGARD
MATH 54C,Concurrent Support for Elementary Statistics,4142,Th 6:15 p.m.-7:05 p.m.,Hybrid,Online,ONLINE,JAHANGARD
MATH54,Introduction to Statistics,4191,MW 5 p.m.-7:05 p.m.,On Ground,Bundy,BUNDY 213,DABAGH
MATH 54C,Concurrent Support for Elementary Statistics,4143,MW 7:15 p.m.-8:05 p.m.,On Ground,Bundy,BUNDY 213,DABAGH
MATH2,Precalculus,2539,MW 8 a.m.-10:25 a.m.,On Ground,Main Campus,MSB 306,LOPEZ
MATH2,Precalculus,2541,MTWTh 8:15 a.m.-9:20 a.m.,On Ground,Main Campus,MSB 201,RODAS
MATH2,Precalculus,2545,TThF 9:30 a.m.-11 a.m.,On Ground,Main Campus,MSB 306,Staff
MATH2,Precalculus,2549,TTh 12:45 p.m.-3:10 p.m.,On Ground,Main Campus,MSB 303,LOPEZ
MATH2,Precalculus,2550,ARRANGE-5.5Hours,Flexible,Online,ONLINE,PHUA
MATH2,Precalculus,2551,ARRANGE-5.5Hours,Flexible,Online,ONLINE,PHUNG
MATH2,Precalculus,4122,MW 5 p.m.-7:25 p.m.,On Ground,Main Campus,MSB 210,RAMSEY
MATH2,Precalculus,4124,MW 7:35 p.m.-10 p.m.,On Ground,Main Campus,MSB 205,CHITGAR
MATH2,Precalculus,4125,MW 4:45 p.m.-7:10 p.m.,On Ground,Main Campus,MSB 101,JIANG
MATH 2 AND,Precalculus,2538,MTWTh 7 a.m.-8:05 a.m.,On Ground,Main Campus,MSB 203,QUEVEDO
MATH 2C,Concurrent Support for Precalculus,2623,MW 8:15 a.m.-9:35 a.m.,On Ground,Main Campus,MSB 203,QUEVEDO
MATH 2 AND,Precalculus,2540,MTWTh 8:15 a.m.-9:20 a.m.,On Ground,Main Campus,MSB 211,ROSS
MATH 2C,Concurrent Support for Precalculus,2624,MW 9:30 a.m.-10:50 a.m.,On Ground,Main Campus,MSB 211,ROSS
MATH 2 AND,Precalculus,2542,MTWTh 8:15 a.m.-9:20 a.m.,On Ground,Main Campus,MSB 207,LEE
MATH 2C,Concurrent Support for Precalculus,2625,TTh 9:30 a.m.-10:50 a.m.,On Ground,Main Campus,MSB 207,LEE
MATH 2 AND,Precalculus,2543,MTWTh 9:30 a.m.-10:35 a.m.,On Ground,Main Campus,MSB 302,MIANO
MATH 2C,Concurrent Support for Precalculus,2626,MW 10:45 a.m.-12:05 p.m.,On Ground,Main Campus,MSB 302,MIANO
MATH 2 AND,Precalculus,2544,MTWTh 9:30 a.m.-10:35 a.m.,On Ground,Main Campus,MSB 307,LONDON
MATH 2C,Concurrent Support for Precalculus,2627,MW 10:45 a.m.-12:05 p.m.,On Ground,Main Campus,MSB 307,LONDON
MATH 2 AND,Precalculus,2546,MTWTh 10 a.m.-11:05 a.m.,On Ground,Main Campus,MSB 201,QUEVEDO
MATH 2C,Concurrent Support for Precalculus,2628,MW 11:15 a.m.-12:35 p.m.,On Ground,Main Campus,MSB 201,QUEVEDO
MATH 2 AND,Precalculus,4120,MTWTh 4:30 p.m.-5:35 p.m.,On Ground,Main Campus,MSB 212,CHAN
MATH 2C,Concurrent Support for Precalculus,4138,TTh 5:45 p.m.-7:05 p.m.,On Ground,Main Campus,MSB 212,CHAN
MATH 2 AND,Precalculus,4121,MTWTh 4:30 p.m.-5:35 p.m.,On Ground,Main Campus,MSB 102,MUSSELMAN
MATH 2C,Concurrent Support for Precalculus,4139,TTh 5:45 p.m.-7:05 p.m.,On Ground,Main Campus,MSB 102,MUSSELMAN
MATH 2 AND,Precalculus,4123,MTWTh 5:30 p.m.-6:35 p.m.,On Ground,Main Campus,MSB 207,KARKAFI
MATH 2C,Concurrent Support for Precalculus,4140,MW 6:45 p.m.-8:05 p.m.,On Ground,Main Campus,MSB 207,KARKAFI
MATH3,Trigonometry with Applications,2552,TTh 11:15 a.m.-12:35 p.m.,On Ground,Main Campus,MSB 212,KIM
